50,40,94
50,41,100
51,14,67
51,18,91
51,31,94
51,45,65
51,56,96
52,02,89
52,23,73
52,31,76
52,40,69
52,50,92
53,09,77
53,20,60
53,23,99
53,33,79
53,34,87
54,15,78
54,20,92
54,32,72
54,40,81
54,57,69
55,06,82
55,07,72
55,19,83
55,22,71
56,11,67
56,19,90
56,33,80
56,50,66
56,56,99
57,18,65
57,25,77
57,29,81
57,34,62
57,40,81
58,19,99
58,34,76
58,46,62
58,51,77
58,57,99
59,18,87
59,23,85
59,25,71
59,40,83
59,51,61
6,01,100
6,23,93
6,24,64
6,29,96
6,33,89
6,42,72
60,22,99
60,24,95
60,26,72
60,51,88
61,04,73
61,07,90
61,11,85
61,25,76
61,56,67
62,03,77
62,07,82
62,29,62
62,32,71
62,56,61
63,08,60
63,26,97
63,42,80
63,50,85
63,52,69
64,02,61
64,05,76
64,35,92
64,40,68
64,50,65
65,05,84
65,19,75
65,30,76
65,32,76
65,47,79
66,09,89
66,22,99
66,28,85
66,30,75
66,33,77
67,03,92
67,09,83
67,23,95
67,30,65
68,19,91
68,27,81
68,29,65
68,34,85
68,53,70
69,10,92
69,17,90
69,29,100
69,49,67
69,50,68
7,10,80
7,17,87
7,32,91
7,38,98
7,47,90
70,10,68
70,13,93
70,19,72
70,30,67
70,40,78
71,12,86
71,21,86
71,35,94
71,43,72
71,54,95
72,02,92
72,25,94
72,28,77
72,51,87
72,57,69
73,09,80
73,15,99
73,28,83
73,30,65
73,55,67
74,22,100
74,25,76
74,27,82
74,45,62
74,51,73
75,04,61
75,24,73
75,48,75
75,50,70
75,52,94
76,16,64
76,17,85
76,22,85
76,26,68
76,43,91
77,04,83
77,16,66
77,19,70
77,23,77
77,44,75
78,20,84
78,25,83
78,39,96
78,40,98
78,49,87
79,02,100
79,39,86
79,43,65
79,50,95
79,51,86
8,08,73
8,22,90
8,23,99
8,57,61
80,03,76
80,42,60
80,43,80
80,48,73
80,55,87
81,16,100
81,28,79
81,31,84
81,48,100
81,57,92
82,07,61
82,08,89
82,38,64
82,49,64
82,52,92
83,24,66
83,25,89
83,43,63
83,44,71
83,56,85
84,02,79
84,13,93
84,15,79
84,25,98
84,53,94
85,15,81
85,19,82
85,34,74
85,55,67
86,06,77
86,11,81
86,21,65
86,28,86
87,14,97
87,20,62
87,29,85
87,32,62
87,51,95
88,02,88
88,15,75
88,19,68
88,27,78
88,42,82
89,08,91
89,10,70
89,18,86
89,32,76
89,54,93
9,07,76
9,31,92
9,45,63
9,50,68
9,52,85
90,11,97
90,20,64
90,44,76
90,54,84
91,06,79
91,34,89
91,42,74
91,47,99
91,49,73
92,32,91
92,34,91
92,39,85
92,46,67
92,50,85
93,19,86
93,29,100
93,40,62
93,50,83
93,54,91
94,04,74
94,15,70
94,25,89
94,34,77
94,50,93
95,16,90
95,28,76
95,30,64
95,40,91
95,44,97
96,03,71
96,10,87
96,29,86
96,30,82
96,53,95
97,02,62
97,08,68
97,20,70
97,28,98
97,30,79
98,07,72
98,13,69
98,26,66
98,29,80
98,49,87
99,17,97
99,23,64
99,49,89
99,56,61
